"","threshold","specificity","sensitivity","model","val_sens","val_spec","set_specificity","set"
"1",0.692402648560677,1,0.382978723404255,"Diagnostic DELFI+CA125+HE4",0.4,0.98,1,"All Cancers"
"2",2965.5,1,0.0212765957446809,"ca125",0.15,1,1,"All Cancers"
"3",212.35,1,0.414893617021277,"he4",0.4,0.98,1,"All Cancers"
"4",0.578668196743385,0.990147783251232,0.468085106382979,"Diagnostic DELFI+CA125+HE4",0.45,0.98,0.99,"All Cancers"
"5",787.5,0.990147783251232,0.138297872340426,"ca125",0.325,0.98,0.99,"All Cancers"
"6",177.05,0.990147783251232,0.468085106382979,"he4",0.475,0.98,0.99,"All Cancers"
"7",0.386706298665616,0.950738916256158,0.563829787234043,"Diagnostic DELFI+CA125+HE4",0.55,0.98,0.95,"All Cancers"
"8",360.2,0.950738916256158,0.287234042553192,"ca125",0.475,0.96,0.95,"All Cancers"
"9",126.05,0.950738916256158,0.606382978723404,"he4",0.575,0.94,0.95,"All Cancers"
"10",0.304479443067765,0.901477832512315,0.659574468085106,"Diagnostic DELFI+CA125+HE4",0.625,0.96,0.9,"All Cancers"
"11",164.95,0.901477832512315,0.457446808510638,"ca125",0.6,0.9,0.9,"All Cancers"
"12",108.8,0.901477832512315,0.659574468085106,"he4",0.65,0.92,0.9,"All Cancers"
"13",0.275186865763773,0.852216748768473,0.702127659574468,"Diagnostic DELFI+CA125+HE4",0.65,0.86,0.85,"All Cancers"
"14",121.25,0.852216748768473,0.563829787234043,"ca125",0.65,0.9,0.85,"All Cancers"
"15",91.325,0.852216748768473,0.723404255319149,"he4",0.7,0.84,0.85,"All Cancers"
"16",0.245951926627466,0.802955665024631,0.765957446808511,"Diagnostic DELFI+CA125+HE4",0.65,0.82,0.8,"All Cancers"
"17",88.205,0.802955665024631,0.627659574468085,"ca125",0.725,0.86,0.8,"All Cancers"
"18",84.45,0.802955665024631,0.75531914893617,"he4",0.725,0.8,0.8,"All Cancers"
"19",0.231617210367067,0.753694581280788,0.829787234042553,"Diagnostic DELFI+CA125+HE4",0.65,0.76,0.75,"All Cancers"
"20",73.635,0.753694581280788,0.648936170212766,"ca125",0.75,0.84,0.75,"All Cancers"
"21",79.765,0.753694581280788,0.765957446808511,"he4",0.75,0.76,0.75,"All Cancers"
"22",0.209778495110227,0.704433497536946,0.851063829787234,"Diagnostic DELFI+CA125+HE4",0.7,0.72,0.7,"All Cancers"
"23",54.365,0.704433497536946,0.691489361702128,"ca125",0.8,0.82,0.7,"All Cancers"
"24",72.3,0.704433497536946,0.797872340425532,"he4",0.75,0.68,0.7,"All Cancers"
"25",0.692402648560677,1,0.615384615384615,"Diagnostic DELFI+CA125+HE4",0.5625,0.98,1,"HGSOC"
"26",2965.5,1,0,"ca125",0.125,1,1,"HGSOC"
"27",212.35,1,0.641025641025641,"he4",0.625,0.98,1,"HGSOC"
"28",0.578668196743385,0.990147783251232,0.769230769230769,"Diagnostic DELFI+CA125+HE4",0.625,0.98,0.99,"HGSOC"
"29",787.5,0.990147783251232,0.230769230769231,"ca125",0.375,0.98,0.99,"HGSOC"
"30",177.05,0.990147783251232,0.743589743589744,"he4",0.625,0.98,0.99,"HGSOC"
"31",0.386706298665616,0.950738916256158,0.82051282051282,"Diagnostic DELFI+CA125+HE4",0.6875,0.98,0.95,"HGSOC"
"32",360.2,0.950738916256158,0.435897435897436,"ca125",0.5625,0.96,0.95,"HGSOC"
"33",126.05,0.950738916256158,0.794871794871795,"he4",0.75,0.94,0.95,"HGSOC"
"34",0.304479443067765,0.901477832512315,0.897435897435897,"Diagnostic DELFI+CA125+HE4",0.75,0.96,0.9,"HGSOC"
"35",164.95,0.901477832512315,0.641025641025641,"ca125",0.6875,0.9,0.9,"HGSOC"
"36",108.8,0.901477832512315,0.871794871794872,"he4",0.8125,0.92,0.9,"HGSOC"
"37",0.275186865763773,0.852216748768473,0.923076923076923,"Diagnostic DELFI+CA125+HE4",0.8125,0.86,0.85,"HGSOC"
"38",121.25,0.852216748768473,0.769230769230769,"ca125",0.6875,0.9,0.85,"HGSOC"
"39",91.325,0.852216748768473,0.923076923076923,"he4",0.875,0.84,0.85,"HGSOC"
"40",0.245951926627466,0.802955665024631,0.948717948717949,"Diagnostic DELFI+CA125+HE4",0.8125,0.82,0.8,"HGSOC"
"41",88.205,0.802955665024631,0.871794871794872,"ca125",0.75,0.86,0.8,"HGSOC"
"42",84.45,0.802955665024631,0.923076923076923,"he4",0.9375,0.8,0.8,"HGSOC"
"43",0.231617210367067,0.753694581280788,0.974358974358974,"Diagnostic DELFI+CA125+HE4",0.8125,0.76,0.75,"HGSOC"
"44",73.635,0.753694581280788,0.871794871794872,"ca125",0.75,0.84,0.75,"HGSOC"
"45",79.765,0.753694581280788,0.923076923076923,"he4",0.9375,0.76,0.75,"HGSOC"
"46",0.209778495110227,0.704433497536946,0.974358974358974,"Diagnostic DELFI+CA125+HE4",0.8125,0.72,0.7,"HGSOC"
"47",54.365,0.704433497536946,0.871794871794872,"ca125",0.8125,0.82,0.7,"HGSOC"
"48",72.3,0.704433497536946,0.974358974358974,"he4",0.9375,0.68,0.7,"HGSOC"
"49",0.692402648560677,1,0.28125,"Diagnostic DELFI+CA125+HE4",0.428571428571429,0.98,1,"Stage I"
"50",2965.5,1,0.03125,"ca125",0.214285714285714,1,1,"Stage I"
"51",212.35,1,0.28125,"he4",0.357142857142857,0.98,1,"Stage I"
